section,lat,lng,food_beverage,retail_outlet,service_business,entertainment,educational_inst,residential_area,corporate_office,financial_inst,shopping_mall,automotive,healthcare,transportation,amenity_diversity_index,business_type
Section 1,3.0671,101.5017,42,13,7,4,39,15,2,7,0,9,4,20,2.0429,
Section 2,3.0718,101.5084,53,32,33,6,45,23,25,7,3,15,6,20,2.2344,
Section 3,3.0742,101.5097,60,43,48,7,37,26,33,7,9,17,9,21,2.2706,
Section 4,3.0059,101.5511,32,10,11,2,5,3,3,0,0,23,2,6,1.8883,
Section 5,3.0831,101.5163,57,41,38,13,25,24,26,6,5,13,18,11,2.28,
Section 6,3.0821,101.5089,56,26,25,9,22,16,11,2,0,14,8,12,2.1495,
Section 7,3.0732,101.4924,54,39,60,10,43,19,26,10,8,46,36,20,2.3204,
Section 8,3.09,101.5088,54,15,17,5,22,12,5,1,0,4,9,10,2.008,
Section 9,3.0832,101.5283,55,40,60,11,23,14,35,10,6,23,19,11,2.2685,
Section 10,3.0803,101.524,60,49,60,14,26,25,50,21,7,23,48,19,2.3368,
Section 11,3.0744,101.5289,52,30,48,7,24,18,46,16,2,23,41,21,2.3009,
Section 12,3.07,101.5357,52,25,22,0,16,6,38,5,2,24,4,21,2.1034,
Section 13,3.0818,101.5394,52,22,20,1,20,8,22,3,1,15,11,7,2.1169,
Section 14,3.0714,101.5243,60,42,55,8,26,27,59,26,13,40,47,21,2.36,
Section 15,3.087,101.535,41,20,28,1,19,7,29,6,0,12,8,2,2.0823,
Section 16,3.0568,101.502,31,12,10,3,15,6,5,6,1,29,2,19,2.1449,
Section 17,3.0463,101.5058,51,26,18,2,16,4,8,0,3,30,12,21,2.0885,
Section 18,3.0481,101.5198,60,42,49,5,24,17,16,9,4,44,14,20,2.2339,
Section 19,3.0484,101.5341,60,31,38,4,22,11,6,4,0,41,21,20,2.1318,
Section 20,3.0552,101.5391,59,28,27,4,21,10,9,3,0,38,31,20,2.1493,
Section 21,3.0563,101.5495,37,14,11,2,7,6,4,0,0,28,15,15,2.0368,
Section 22,3.0504,101.5471,39,16,11,1,18,5,6,1,0,32,10,17,2.0592,
Section 23,3.0465,101.5288,60,34,39,4,23,10,7,2,0,35,19,20,2.1167,
Section 24,3.0385,101.5185,54,42,45,4,23,15,16,8,4,34,14,16,2.236,
Section 25,3.0225,101.5385,43,49,52,6,24,6,19,6,6,42,9,15,2.1926,
Section 26,3.0266,101.5622,27,18,15,1,9,4,4,1,0,24,4,15,2.0586,
Section 27,3.0235,101.5713,27,16,19,3,20,7,7,4,2,31,4,10,2.1993,
Section 28,3.0051,101.5602,37,23,18,1,14,8,2,0,1,24,6,14,2.0466,
Section 29,3.1731,101.5138,39,13,12,1,16,16,7,0,0,21,0,17,1.9947,
Section 30,2.979,101.5184,57,30,27,6,20,13,6,0,0,34,2,0,1.9011,
Section 31,2.9864,101.5395,43,13,17,3,20,8,8,1,1,26,2,11,2.0749,
Section 32,3.0062,101.5181,26,9,8,0,16,6,1,1,1,27,0,9,1.904,
Section 33,3.0214,101.5424,36,38,35,4,19,5,8,5,3,37,5,13,2.1444,
Section 34,3.0114,101.4997,24,8,5,0,2,5,3,0,1,25,1,6,1.8207,
Section 35,3.0318,101.5124,41,9,8,1,17,10,4,0,1,11,7,3,1.9623,
Section 36,3.0323,101.4899,31,3,3,1,7,3,0,0,1,9,1,0,1.5396,
Section U1,3.0819,101.5604,51,16,24,4,23,7,23,3,2,40,15,19,2.1943,
Section U2,3.0963,101.5568,52,27,39,7,28,8,20,5,2,45,6,18,2.186,
Section U3,3.1198,101.5635,26,3,3,1,4,3,3,0,0,20,14,14,1.9037,
Section U4,3.1564,101.5598,21,19,4,4,9,4,5,3,3,25,22,6,2.1871,
Section U5,3.1605,101.5491,56,44,32,12,20,13,8,4,4,35,6,19,2.1944,
Section U6,3.1385,101.5307,43,22,13,6,11,4,10,6,1,38,5,15,2.1336,
Section U7,3.1276,101.5449,8,2,0,0,1,1,2,0,1,9,0,0,1.5454,
Section U8,3.1108,101.5469,30,22,8,0,13,3,13,2,3,17,8,6,2.1332,
Section U9,3.13,101.5177,15,8,6,1,7,5,2,3,0,21,1,6,2.0636,
Section U10,3.1367,101.4959,25,10,1,2,18,7,2,0,0,0,1,5,1.728,
Section U11,3.0952,101.5072,28,9,5,2,10,5,1,0,0,2,3,7,1.8893,
Section U12,3.0845,101.4854,51,24,20,3,21,7,8,0,0,26,6,0,1.9213,
Section U13,3.0943,101.4443,60,37,49,22,20,10,20,13,0,30,25,9,2.2414,
Section U14,3.0878,101.4884,42,12,9,0,20,4,9,1,0,11,3,0,1.8133,
Section U15,3.1776,101.4621,8,0,0,1,4,2,0,0,0,3,0,0,1.398,
Section U16,3.1608,101.5122,54,24,24,6,21,12,16,4,1,29,11,13,2.2091,
Section U17,3.2203,101.4991,20,2,2,0,3,5,0,1,0,12,0,6,1.6848,
Section U18,3.211,101.5344,34,11,6,1,6,5,4,0,0,24,0,5,1.7968,
Section U19,3.2022,101.5642,48,49,49,2,16,11,19,20,5,34,29,16,2.257,
Section U20,3.2092,101.5425,39,16,9,1,10,7,3,0,1,24,0,9,1.8967,
